sample_index,sent_monotonic_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,dq_meas_1,dq_meas_2,dq_meas_3,dq_meas_4,dq_meas_5,dq_meas_6,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_meas_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,fault_flags
14,331374.730970936,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.0043964385986328125,-0.0043964385986328125,-0.013187408447265625,0.010990142822265625,-0.03296661376953125,-0.010990142822265625,-0.1866659545898437,0.3876911163330078,6.131280517578125,1.5003077545166015,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
15,331374.740971664,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.013187408447265625,-0.0043964385986328125,-0.03956031799316406,0.010990142822265625,-0.03296661376953125,-0.010990142822265625,-0.41640953063964836,0.5312831878662109,6.6769229125976555,1.4891256408691407,0.06895838928222656,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
16,331374.750967605,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3355073928833008,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.021978378295898438,-0.03076934814453125,-0.021978378295898438,0.010990142822265625,-0.010990142822265625,0.010990142822265625,-0.33025802612304683,0.24410278320312498,6.217435760498046,1.4891256408691407,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011367607116699208,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
17,331374.760969057,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.013187408447265625,-0.0043964385986328125,-0.013187408447265625,0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.3015396118164062,-0.24410278320312498,6.504612426757811,1.4853974609375,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
18,331374.771029523,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3355073928833008,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.013187408447265625,0.0043964385986328125,0.021978378295898438,-0.010990142822265625,0.010990142822265625,0.010990142822265625,-0.24410278320312498,0.10051445007324217,6.504612426757811,1.4965803833007811,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011367607116699208,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
19,331374.78101968,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.021978378295898438,0.0043964385986328125,-0.05714225769042969,-0.010990142822265625,0.010990142822265625,-0.010990142822265625,-0.043077621459960934,-0.07179603576660155,6.6482044982910145,1.5003077545166015,0.06895838928222656,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
20,331374.791019219,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.0043964385986328125,0.013187408447265625,0.021978378295898438,0.010990142822265625,-0.03296661376953125,0.010990142822265625,-0.445127944946289,1.1056402587890624,6.6482044982910145,1.4965803833007811,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
21,331374.803029084,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.052834510803222656,0.0043964385986328125,-0.0043964385986328125,-0.013187408447265625,-0.010990142822265625,-0.010990142822265625,-0.03296661376953125,-0.043077621459960934,-0.1866659545898437,6.504612426757811,1.4965803833007811,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003415489196777345,
22,331374.81097711,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.013187408447265625,-0.021978378295898438,-0.021978378295898438,0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.24410278320312498,0.4738463592529296,6.504612426757811,1.5003077545166015,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
23,331374.820972671,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.03076934814453125,-0.0043964385986328125,-0.013187408447265625,-0.03296661376953125,0.010990142822265625,-0.03296661376953125,-0.1579475402832031,0.21538436889648435,6.475894012451171,1.5077624969482422,0.06895838928222656,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
24,331374.831043809,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.03076934814453125,0.013187408447265625,-0.0043964385986328125,-0.03296661376953125,-0.010990142822265625,-0.010990142822265625,-0.1866659545898437,0.933333511352539,6.504612426757811,1.5040351257324218,0.06895838928222656,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
25,331374.842099147,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.013187408447265625,-0.013187408447265625,0.013187408447265625,0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.3015396118164062,-0.8471782684326171,6.6769229125976555,1.5040351257324218,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
26,331374.850971023,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.013187408447265625,-0.021978378295898438,-0.0043964385986328125,0.010990142822265625,0.010990142822265625,-0.010990142822265625,-0.07179603576660155,0.2728211975097656,6.389746246337889,1.5040351257324218,0.06895838928222656,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
27,331374.860971757,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.0043964385986328125,-0.021978378295898438,-0.0043964385986328125,-0.03296661376953125,-0.03296661376953125,-0.010990142822265625,-0.2728211975097656,0.33025802612304683,6.504612426757811,1.5077624969482422,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
28,331374.870949705,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.013187408447265625,-0.013187408447265625,-0.021978378295898438,-0.010990142822265625,-0.03296661376953125,0.010990142822265625,-0.4738463592529296,0.8184598541259764,6.504612426757811,1.5077624969482422,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
29,331374.880970702,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.0043964385986328125,-0.013187408447265625,0.0043964385986328125,-0.010990142822265625,0.010990142822265625,0.010990142822265625,-0.41640953063964836,1.47897590637207,6.361027832031249,1.5040351257324218,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
30,331374.890972401,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.0043964385986328125,-0.013187408447265625,-0.0043964385986328125,-0.010990142822265625,-0.03296661376953125,-0.010990142822265625,-0.07179603576660155,0.33025802612304683,6.504612426757811,1.5040351257324218,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
31,331374.90104206,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3355073928833008,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.013187408447265625,0.0043964385986328125,0.03956031799316406,-0.010990142822265625,-0.010990142822265625,-0.010990142822265625,-0.07179603576660155,0.5887162780761718,6.6482044982910145,1.5003077545166015,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011367607116699208,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
32,331374.913022011,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.0043964385986328125,-0.021978378295898438,-0.0043964385986328125,-0.03296661376953125,-0.010990142822265625,-0.010990142822265625,-0.41640953063964836,0.1579475402832031,6.6769229125976555,1.5003077545166015,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
33,331374.920971696,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.0043964385986328125,-0.013187408447265625,-0.013187408447265625,-0.010990142822265625,-0.03296661376953125,-0.03296661376953125,-0.4738463592529296,0.7035899353027343,6.6769229125976555,1.5040351257324218,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
34,331374.930971289,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.03076934814453125,-0.013187408447265625,-0.013187408447265625,-0.010990142822265625,0.010990142822265625,-0.010990142822265625,-0.21538436889648435,0.21538436889648435,6.504612426757811,1.5040351257324218,0.06895838928222656,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
35,331374.940968415,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.013187408447265625,0.0043964385986328125,-0.0043964385986328125,-0.010990142822265625,0.010990142822265625,-0.010990142822265625,-0.445127944946289,0.1579475402832031,6.6482044982910145,1.5077624969482422,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
36,331374.950976005,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.0043964385986328125,-0.013187408447265625,-0.013187408447265625,-0.010990142822265625,-0.010990142822265625,-0.010990142822265625,0.01435920715332031,0.1579475402832031,6.389746246337889,1.5077624969482422,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
37,331374.960972942,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,-0.021978378295898438,-0.0043964385986328125,-0.0043964385986328125,-0.010990142822265625,0.010990142822265625,-0.010990142822265625,-0.24410278320312498,0.1579475402832031,6.504612426757811,1.5040351257324218,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
38,331374.970966789,0.07875,0.384375,0.346875,-0.05625,0.07875,0.05625,0.0,0.0,0.0,0.0,0.0,0.0,0.08030033111572266,0.3835735321044922,0.3351259231567383,-0.06427860260009766,0.07495975494384766,0.053215980529785156,0.0043964385986328125,-0.03076934814453125,0.0043964385986328125,-0.010990142822265625,-0.03296661376953125,-0.010990142822265625,-0.3015396118164062,0.9046150970458983,6.6769229125976555,1.5040351257324218,0.06523101806640624,0.03168386840820312,0.0015503311157226557,-0.0008014678955078347,-0.011749076843261708,-0.008028602600097655,-0.0037902450561523443,-0.003034019470214845,
