sample_index,sent_monotonic_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,dq_cmd_1,dq_cmd_2,dq_cmd_3,dq_cmd_4,dq_cmd_5,dq_cmd_6,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,dq_meas_1,dq_meas_2,dq_meas_3,dq_meas_4,dq_meas_5,dq_meas_6,tau_meas_1,tau_meas_2,tau_meas_3,tau_meas_4,tau_meas_5,tau_meas_6,q_error_1,q_error_2,q_error_3,q_error_4,q_error_5,q_error_6,fault_flags
10,331421.255017902,0.06537,0.382708,0.337511,-0.046662,0.066565,0.0585,-0.32515000000000044,-0.04045000000000021,-0.2275499999999986,0.23304999999999992,-0.29614999999999986,0.05469999999999989,0.07381534576416016,0.3839550018310547,0.3343629837036133,-0.061608314514160156,0.06656742095947266,0.055504798889160156,-0.21538543701171875,-0.021978378295898438,-0.0659332275390625,0.20878982543945312,-0.47252655029296875,-0.010990142822265625,-1.0194887542724609,-0.1866659545898437,5.241024627685546,1.6456792755126952,-0.005591461181640625,0.03168386840820312,0.008445345764160159,0.0012470018310546949,-0.003148016296386724,-0.014946314514160154,2.4209594726570804e-06,-0.002995201110839847,
11,331421.265011675,0.061928,0.38228,0.335102,-0.044195,0.06343,0.059079,-0.3608999999999998,-0.04494999999999916,-0.2525500000000014,0.2586500000000002,-0.3286999999999998,0.06069999999999999,0.07114505767822266,0.3839550018310547,0.3336000442504883,-0.059319496154785156,0.06351566314697266,0.055504798889160156,-0.2417583465576172,-0.03956031799316406,-0.0659332275390625,0.2967033386230469,-0.47252655029296875,-0.010990142822265625,-1.3928206634521483,0.1579475402832031,5.097432556152343,1.6382245330810545,0.01677357482910156,0.03913861083984375,0.00921705767822266,0.0016750018310546788,-0.0015019557495117297,-0.015124496154785158,8.566314697265598e-05,-0.0035742011108398433,
12,331421.275007927,0.058152,0.381809,0.33246,-0.041489,0.059991,0.059714,-0.39159999999999995,-0.04880000000000162,-0.27399999999999924,0.28059999999999996,-0.3566,0.06584999999999994,0.06809329986572266,0.3835735321044922,0.3328371047973633,-0.057412147521972656,0.060845375061035156,0.055886268615722656,-0.3296699523925781,-0.03076934814453125,-0.0659332275390625,0.25274658203125,-0.5164833068847656,0.0549468994140625,-1.134358673095703,0.10051445007324217,4.896411132812499,1.6494066467285156,0.03168386840820312,0.05032072448730469,0.009941299865722654,0.001764532104492178,0.0003771047973633035,-0.015923147521972658,0.0008543750610351536,-0.003827731384277347,
13,331421.285015028,0.054096,0.381304,0.329622,-0.038583,0.056298,0.060396,-0.4167500000000001,-0.05189999999999917,-0.29164999999999885,0.2985999999999999,-0.37949999999999995,0.07009999999999968,0.06389713287353516,0.3831920623779297,0.3320741653442383,-0.054741859436035156,0.057030677795410156,0.055886268615722656,-0.47912025451660156,-0.03956031799316406,-0.09230804443359375,0.4285697937011719,-0.40659332275390625,0.010990142822265625,-0.6748715209960936,0.1579475402832031,4.637945404052734,1.6382245330810545,0.0279556884765625,0.05777546691894531,0.009801132873535158,0.0018880623779297112,0.002452165344238255,-0.016158859436035157,0.0007326777954101554,-0.004509731384277342,
14,331421.295010172,0.04981699999999999,0.380771,0.326627,-0.03551699999999999,0.052400999999999996,0.061116,-0.4363499999999999,-0.054349999999997456,-0.3054500000000016,0.31270000000000014,-0.39740000000000025,0.0734000000000002,0.059319496154785156,0.3828105926513672,0.3309297561645508,-0.050927162170410156,0.053597450256347656,0.056267738342285156,-0.39999961853027344,-0.021978378295898438,-0.15384674072265625,0.5164833068847656,-0.5164833068847656,0.0549468994140625,-1.2779470062255858,0.1292291259765625,4.810255889892577,1.5860397186279296,0.020500946044921874,0.06895838928222656,0.009502496154785163,0.0020395926513671614,0.004302756164550781,-0.015410162170410163,0.00119645025634766,-0.0048482616577148405,
15,331421.305009382,0.045369,0.380217,0.323513,-0.032329,0.04835,0.061864,-0.45045000000000013,-0.056200000000000694,-0.31535000000000035,0.3228,-0.41025000000000017,0.07570000000000042,0.055504798889160156,0.3824291229248047,0.3294038772583008,-0.047493934631347656,0.050927162170410156,0.056267738342285156,-0.47912025451660156,-0.0659332275390625,-0.1890106201171875,0.626373291015625,-0.4945068359375,0.010990142822265625,-0.7897451782226562,0.1579475402832031,4.95384796142578,1.526400161743164,0.01677357482910156,0.07268576049804687,0.010135798889160157,0.0022121229248046603,0.005890877258300786,-0.01516493463134766,0.002577162170410159,-0.005596261657714846,
16,331421.315008514,0.040808,0.379647,0.32032,-0.029061,0.044196,0.06263,-0.4584499999999998,-0.057250000000000356,-0.32099999999999906,0.3284999999999998,-0.41754999999999987,0.07705000000000004,0.050164222717285156,0.3820476531982422,0.3271150588989258,-0.041390419006347656,0.047112464904785156,0.056649208068847656,-0.6197795867919922,-0.03956031799316406,-0.28571510314941406,0.8241767883300781,-0.6043968200683594,0.03296661376953125,-0.8471782684326171,0.07179603576660155,4.724100646972656,1.4071210479736327,0.009318832397460937,0.07641313171386718,0.00935622271728516,0.0024006531982421753,0.006795058898925788,-0.012329419006347656,0.002916464904785157,-0.005980791931152349,
17,331421.32500788,0.0362,0.379072,0.317093,-0.025759,0.039999,0.063405,-0.4599499999999999,-0.057350000000000456,-0.32200000000000006,0.32954999999999995,-0.4188500000000001,0.07729999999999959,0.045586585998535156,0.3812847137451172,0.3244447708129883,-0.036812782287597656,0.044060707092285156,0.057030677795410156,-0.39999961853027344,-0.08351707458496094,-0.3208789825439453,0.6703300476074219,-0.47252655029296875,0.0549468994140625,-1.134358673095703,0.01435920715332031,5.126150970458983,1.3698465270996094,-0.005591461181640625,0.07268576049804687,0.009386585998535153,0.0022127137451171675,0.0073517708129882675,-0.011053782287597656,0.004061707092285156,-0.006374322204589847,
18,331421.335015149,0.031609,0.3785,0.31388,-0.02247,0.035819,0.064176,-0.45480000000000015,-0.056649999999999756,-0.3182500000000005,0.3258500000000001,-0.4141499999999999,0.07645000000000013,0.039483070373535156,0.3801403045654297,0.3213930130004883,-0.031853675842285156,0.042153358459472656,0.057793617248535156,-0.4879112243652344,-0.09230804443359375,-0.28571510314941406,0.6923065185546875,-0.2967033386230469,0.07692337036132812,-0.7610267639160155,0.10051445007324217,4.724100646972656,1.336298568725586,-0.0801405029296875,0.07268576049804687,0.007874070373535158,0.0016403045654296844,0.007513013000488289,-0.009383675842285156,0.00633435845947266,-0.006382382751464841,
19,331421.34501182,0.027104,0.377939,0.310728,-0.019242,0.031716,0.064934,-0.44294999999999995,-0.05505000000000093,-0.3098500000000004,0.31745,-0.40339999999999976,0.07455000000000031,0.034905433654785156,0.3793773651123047,0.3187227249145508,-0.02803802490234375,0.038720130920410156,0.059319496154785156,-0.3912086486816406,-0.09230804443359375,-0.3296699523925781,0.5384597778320312,-0.47252655029296875,0.27472686767578125,-0.9620519256591795,0.4738463592529296,4.9825663757324214,1.336298568725586,-0.09505079650878906,0.05032072448730469,0.007801433654785157,0.0014383651123046626,0.007994724914550777,-0.008796024902343751,0.007004130920410155,-0.005614503845214849,
