time_s,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6
1.690000,0.035048,0.378928,0.316287,-0.024934,0.038950,0.063599
1.700000,0.033898,0.378785,0.315482,-0.024110,0.037903,0.063792
1.710000,0.032751,0.378642,0.314679,-0.023288,0.036859,0.063984
1.720000,0.031609,0.378500,0.313880,-0.022470,0.035819,0.064176
1.730000,0.030472,0.378358,0.313084,-0.021655,0.034784,0.064367
1.740000,0.029342,0.378217,0.312294,-0.020846,0.033754,0.064557
1.750000,0.028219,0.378078,0.311508,-0.020041,0.032731,0.064746
1.760000,0.027104,0.377939,0.310728,-0.019242,0.031716,0.064934
1.770000,0.025999,0.377802,0.309955,-0.018450,0.030709,0.065120
1.780000,0.024904,0.377666,0.309189,-0.017665,0.029713,0.065304
1.790000,0.023821,0.377532,0.308432,-0.016889,0.028726,0.065487
1.800000,0.022750,0.377399,0.307683,-0.016121,0.027751,0.065667
1.810000,0.021693,0.377268,0.306944,-0.015363,0.026788,0.065845
1.820000,0.020650,0.377139,0.306215,-0.014616,0.025838,0.066021
1.830000,0.019623,0.377012,0.305497,-0.013879,0.024902,0.066194
1.840000,0.018611,0.376887,0.304790,-0.013154,0.023981,0.066365
1.850000,0.017616,0.376764,0.304095,-0.012441,0.023075,0.066533
1.860000,0.016638,0.376644,0.303412,-0.011740,0.022184,0.066697
1.870000,0.015679,0.376525,0.302741,-0.011052,0.021311,0.066859
1.880000,0.014738,0.376409,0.302084,-0.010378,0.020454,0.067017
1.890000,0.013817,0.376295,0.301440,-0.009718,0.019615,0.067172
1.900000,0.012917,0.376184,0.300811,-0.009072,0.018795,0.067324
1.910000,0.012037,0.376075,0.300196,-0.008442,0.017994,0.067472
1.920000,0.011180,0.375968,0.299596,-0.007827,0.017213,0.067616
1.930000,0.010345,0.375864,0.299012,-0.007229,0.016453,0.067756
1.940000,0.009534,0.375762,0.298443,-0.006647,0.015714,0.067893
1.950000,0.008746,0.375663,0.297892,-0.006083,0.014997,0.068025
1.960000,0.007984,0.375567,0.297357,-0.005537,0.014303,0.068153
1.970000,0.007247,0.375474,0.296840,-0.005010,0.013632,0.068276
1.980000,0.006537,0.375384,0.296341,-0.004501,0.012985,0.068395
1.990000,0.005854,0.375297,0.295861,-0.004013,0.012363,0.068509
2.000000,0.005199,0.375213,0.295400,-0.003544,0.011767,0.068618
2.010000,0.004573,0.375132,0.294958,-0.003096,0.011197,0.068722
2.020000,0.003975,0.375053,0.294536,-0.002668,0.010652,0.068821
2.030000,0.003404,0.374978,0.294133,-0.002260,0.010133,0.068916
2.040000,0.002861,0.374906,0.293748,-0.001871,0.009638,0.069006
2.050000,0.002344,0.374838,0.293382,-0.001501,0.009167,0.069092
2.060000,0.001853,0.374773,0.293034,-0.001151,0.008720,0.069173
